comment_channel,createtime,ext1,ext2,ext3,ext4,ext5,id,img,keywords,level,media_name,media_type,old_level,title,url
,1529568471,,sh:comos-hefphqm0039992:0,,sh:comos-hefphqm0039992:0,"原标题：男子无力还贷抢劫豪车女司机获刑14年，未勒索就被群众抓住
浙江台州一男子无力偿还高利贷想抢劫豪车车主，不料他上车劫持一豪车女主人的儿子后，没来得及开口索要钱款就被周围群众当场抓住。",1-1-35861037,,"越野车,豪车,女司机",0,澎湃新闻,,2,男子欠高利贷劫开豪车女 还未张口勒索就被路人擒,http://news.sina.com.cn/o/2018-06-21/doc-ihefphqm0039992.shtml
,1529568199,,sh:comos-hefphqm0004516:0,,sh:comos-hefphqm0004516:0,"原标题：上海法院披福喜案细节：因产品积压，高层多次商议授意再加工
2014年震动全国的“福喜”事件，是在公司高层至工厂领导的层层授意下发生的。",1-1-35860993,,"保质期,福喜,食品",0,澎湃新闻,,2,上海法院披福喜案细节:产品积压 高层授意再加工,http://news.sina.com.cn/o/2018-06-21/doc-ihefphqm0004516.shtml
sh,1529567879,,sh:comos-hefphqk9960834:0,,sh:comos-hefphqk9960834:0,"6月13日上午，山西左云县防范办和县妇联在2018中国公路自行车联赛第三站（大同·左云）举办期间，携手走进赛场开展反邪教签名活动。
签满志愿者名字的展板。",1-1-35860978,,"邪教,左云,签名",0,中国反邪教网,,3,山西左云借“2018中国公路自行车联赛”开展反邪教签名活动,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqk9960834.shtml
sh,1529567879,,sh:comos-hefphqk9960840:0,,sh:comos-hefphqk9960840:0,"5月份以来，南京市玄武区反邪教协会以全市开展“反邪教宣传月”活动为契机，推进反邪教宣传“进社区、进家庭、进学校、进军营”，在全区范围内组织开展声势浩大、形式多样的社会面反邪教宣传活动。
在平安法治“四进”活动启动仪式上开展反邪教宣传。",1-1-35860979,,"邪教,社会面,玄武区",0,中国反邪教网,,3,南京市玄武区开展社会面反邪教宣传活动,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqk9960840.shtml
sh,1529567877,,sh:comos-hefphqk9960643:0,,sh:comos-hefphqk9960643:0,5月15日，在“国际家庭日”到来之际，温州市反邪教协会在鹿城区大南街道侨家大院开展了一场以“家庭拒邪”为主题的宣传活动，并借此机会宣布七个社区成立反邪教侨联支会。,1-1-35860977,,"邪教,国际家庭日,社区",0,中国反邪教网,,3,温州借“国际家庭日”开展反邪宣传活动,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqk9960643.shtml
sh,1529567873,,sh:comos-hefphqk9960326:0,,sh:comos-hefphqk9960326:0,"5月11日上午，吉林省双辽市辽西街办事处在文化广场，组织35名在职党员深入社区开展 “认清邪教危害，依法惩治犯罪，崇尚科学文明，促进社会和谐” 宣传教育活动。
本次活动旨在进一步增强广大群众的法治观念和安全意识，加强反邪教宣传教育工作的力度和深度，切实增强广大群众自觉抵御邪教侵蚀…",1-1-35860976,,"邪教,双辽市,邪教组织",0,中国反邪教网,,3,双辽市党员深入社区开展反邪警示教育宣传,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqk9960326.shtml
sh,1529567871,,sh:comos-hefphqk9960134:0,,sh:comos-hefphqk9960134:0,为进一步提高辖区广大群众的反邪教意识，增强广大群众抵制邪教的能力，端午节前夕，平谷区防范办和司法局共同开展“崇尚科学 反对邪教”主题教育进社区活动。,1-1-35860974,,"平谷区,邪教,居民",0,中国反邪教网,,3,北京市平谷区开展反邪教宣传进社区活动,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqk9960134.shtml
sh,1529567617,,sh:comos-hefphqk9928235:0,,sh:comos-hefphqk9928235:0,案情：胡某某于2007年至2013年在南川大土煤矿从事采煤工作， 2013年12月20日经重庆市职业病防治院诊断为“煤工尘肺壹期”。2014年1月30日，南川人社局认定胡某某的“煤工尘肺壹期”为工伤。2015年3月1日，胡某某与武隆顺得劳务公司签订劳动合同，被派遣到顺得煤矿从事井下工作。2016年11月3日，…,1-1-35860950,,"武隆,尘肺,工伤",0,重庆法院网,,3,对同一部位同一职业病申请工伤认定构成重复申请,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqk9928235.shtml
sh,1529567615,,sh:comos-hefphqk9928041:0,抚恤金可以继承吗,sh:comos-hefphqk9928041:0,韦某父母双亡，丧偶。育有4个子女，分别是韦1、韦2、韦3、韦4。其中，韦1先于韦某去世，有两个子女，均已成年。韦某从2001年3月起与二女儿韦3一起居住生活，直至2015年1月28日去世。韦某去世后，社保部门向其亲属发放了死亡抚恤金、丧葬补助金共计14万元，该笔抚恤金由韦3取出占有，韦某的其他近亲…,1-1-35860949,,"抚恤金,子女,顺序",0,重庆法院网,,3,抚恤金可以继承吗,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqk9928041.shtml
sh,1529567284,,sh:comos-hefphqk9882670:0,,sh:comos-hefphqk9882670:0,"原标题：海南文昌：三男子吃烧烤时被蒙面男子追赶，一人受枪伤
@平安文昌6月21日消息，2018年6月19日1时55分许，文昌市公安局接到群众报警称：文昌市锦山镇某烧烤摊处有人开枪，一人受伤。接报后，文昌市公安局立即开展侦查。",1-1-35860944,,"海南,枪伤,文昌",0,澎湃新闻,,2,3名男子吃烧烤时被蒙面男子追赶 1人受枪伤,http://news.sina.com.cn/s/2018-06-21/doc-ihefphqk9882670.shtml
